Ley3_66761_scaffold_1922	metabat.7
Ley3_66761_scaffold_1943	metabat.85
Ley3_66761_scaffold_1972	metabat.11
Ley3_66761_scaffold_1981	metabat.8
Ley3_66761_scaffold_2025	metabat.85
Ley3_66761_scaffold_2028	metabat.85
Ley3_66761_scaffold_2036	metabat.7
Ley3_66761_scaffold_2062	metabat.85
Ley3_66761_scaffold_2063	metabat.85
Ley3_66761_scaffold_2068	metabat.11
Ley3_66761_scaffold_2088	metabat.85
Ley3_66761_scaffold_2095	metabat.4
Ley3_66761_scaffold_2123	metabat.7
Ley3_66761_scaffold_2155	metabat.7
Ley3_66761_scaffold_2171	metabat.7
Ley3_66761_scaffold_2191	metabat.85
Ley3_66761_scaffold_2200	metabat.7
Ley3_66761_scaffold_2211	metabat.8
Ley3_66761_scaffold_2213	metabat.7
Ley3_66761_scaffold_2227	metabat.7
Ley3_66761_scaffold_2228	metabat.4
Ley3_66761_scaffold_2261	metabat.11
Ley3_66761_scaffold_2269	metabat.7
Ley3_66761_scaffold_2279	metabat.11
Ley3_66761_scaffold_2281	metabat.11
Ley3_66761_scaffold_2295	metabat.7
Ley3_66761_scaffold_2343	metabat.85
Ley3_66761_scaffold_2349	metabat.4
Ley3_66761_scaffold_2350	metabat.8
Ley3_66761_scaffold_2356	metabat.4
Ley3_66761_scaffold_2383	metabat.11
Ley3_66761_scaffold_2402	metabat.85
Ley3_66761_scaffold_2416	metabat.11
Ley3_66761_scaffold_2443	metabat.4
Ley3_66761_scaffold_2485	metabat.85
Ley3_66761_scaffold_2499	metabat.11
Ley3_66761_scaffold_2516	metabat.85
Ley3_66761_scaffold_2548	metabat.11
Ley3_66761_scaffold_2572	metabat.11
Ley3_66761_scaffold_2591	metabat.4
Ley3_66761_scaffold_2597	metabat.8
Ley3_66761_scaffold_2691	metabat.85
Ley3_66761_scaffold_2703	metabat.11
Ley3_66761_scaffold_2844	metabat.4
Ley3_66761_scaffold_2860	metabat.4
Ley3_66761_scaffold_2866	metabat.4
Ley3_66761_scaffold_2871	metabat.11
Ley3_66761_scaffold_2938	metabat.7
Ley3_66761_scaffold_2945	metabat.11
Ley3_66761_scaffold_2949	metabat.11
Ley3_66761_scaffold_2955	metabat.4
Ley3_66761_scaffold_2962	metabat.11
Ley3_66761_scaffold_3031	metabat.4
Ley3_66761_scaffold_3038	metabat.7
Ley3_66761_scaffold_3045	metabat.11
Ley3_66761_scaffold_3095	metabat.8
Ley3_66761_scaffold_3189	metabat.85
Ley3_66761_scaffold_3224	metabat.85
Ley3_66761_scaffold_3304	metabat.85
Ley3_66761_scaffold_3335	metabat.85
Ley3_66761_scaffold_3349	metabat.4
Ley3_66761_scaffold_3358	metabat.7
Ley3_66761_scaffold_3370	metabat.4
Ley3_66761_scaffold_3376	metabat.85
Ley3_66761_scaffold_3399	metabat.4
